Datos,Fecha
2845.80,2025-05-20 23:09:00
2864.51,2025-05-21 23:31:00
2901.07,2025-05-23 23:45:00
2923.34,2025-05-24 22:29:00
2939.17,2025-05-25 23:24:00
2954.08,2025-05-26 22:13:00
2971.94,2025-05-27 22:57:00
2988.43,2025-05-28 22:43:00
3006.01,2025-05-29 22:03:00
3022.84,2025-05-30 22:35:00
3039.21,2025-05-31 22:45:00
3054.48,2025-06-01 22:38:00
3071.33,2025-06-02 22:49:00
3091.15,2025-06-03 22:58:00
3110.29,2025-06-04 23:43:00
3126.90,2025-06-05 23:34:00
3141.13,2025-06-06 22:06:00
3154.91,2025-06-07 23:52:00
3170.02,2025-06-08 22:44:00
3188.53,2025-06-09 23:46:00
3204.12,2025-06-10 21:23:00
3219.75,2025-06-11 22:30:00
3240.97,2025-06-12 21:54:00
3258.09,2025-06-13 22:31:00
3287.23,2025-06-15 22:03:00
3304.19,2025-06-16 21:46:00
3319.93,2025-06-17 22:11:00
3351.01,2025-06-19 22:40:00
3391.88,2025-06-22 21:15:00
3427.59,2025-06-24 22:10:00
3455.31,2025-06-26 22:04:00
3489.12,2025-06-28 23:52:00
3525.23,2025-07-01 22:15:00
3538.09,2025-07-02 22:13:00
3551.50,2025-07-03 23:55:00
3564.14,2025-07-04 22:13:00
3586.00,2025-07-06 23:05:00
3597.08,2025-07-07 22:16:00
3639.36,2025-07-10 22:10:00
3652.53,2025-07-11 22:12:00
3663.65,2025-07-12 22:59:00
3673.68,2025-07-13 21:19:00
3686.08,2025-07-14 22:04:00
3711.07,2025-07-16 22:38:00
3753.60,2025-07-20 23:26:00
3774.77,2025-07-22 23:35:00
3824.20,2025-07-27 22:08:00
3859.55,2025-07-30 22:26:00
3883.54,2025-08-01 23:07:00
3895.82,2025-08-02 23:37:00
3907.22,2025-08-03 22:20:00
3919.13,2025-08-04 22:48:00
3962.25,2025-08-09 22:30:00
3968.93,2025-08-10 20:50:00
3977.83,2025-08-11 20:41:00
3997.77,2025-08-13 22:56:00
4044.81,2025-08-19 22:18:00
4053.85,2025-08-20 21:50:00
